"source","target","value"
"Agriculture and rural land management","Barriers - ecological discontinuity",1
"Agriculture and rural land management","Flood protection - structures",1
"Agriculture and rural land management","Poor Livestock Management",1
"Agriculture and rural land management","Poor nutrient management",1
"Agriculture and rural land management","Poor pesticide management",1
"Agriculture and rural land management","Poor soil management",1
"Domestic General Public","Private Sewage Treatment",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"Other","Fish stocking",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Other (not in list, must add details in comments)",2
"Water Industry","Sewage discharge (continuous)",1
