"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039022970","Sector under investigation","Not applicable","Unknown (pending investigation)","Incidents","Suspected"
"2","GB106039022970","Water Industry","Confirmed","Waste water treatment","Sewage discharge (intermittent)","Confirmed"
"3","GB106039022970","Urban and transport","Suspected","Urban","Urbanisation - urban development","Suspected"
"4","GB106039022970","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"5","GB106039022970","Water Industry","Confirmed","Waste water treatment","Sewage discharge (intermittent)","Confirmed"
"6","GB106039022970","Urban and transport","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"7","GB106039022970","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"8","GB106039022970","Domestic General Public","Confirmed","Not applicable","Misconnections","Confirmed"
"9","GB106039022970","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"10","GB106039022970","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
"11","GB106039022970","Urban and transport","Confirmed","Urban","Urbanisation - urban development","Confirmed"
