"","X","text","n"
"1",1,"flood alert river thames",243
"2",2,"the river thames",206
"3",3,"cookham police search",14
"4",4,"a flood alert",13
"5",5,"normal river thames",10
"6",6,"river thames",9
"7",7,"the thames path",9
"8",8,"the cookham reach",8
"9",9,"4 star hotel",6
"10",10,"the environment agency",6
"11",11,"a flood alert flooding",5
"12",12,"classic edwardian home",5
"13",13,"river thames cookham",5
"14",14,"the jubilee river",5
"15",15,"the thames river",5
"16",16,"1056am 01042016 river thames",4
"17",17,"838am 14032016 river thames",4
"18",18,"a road bridge",4
"19",19,"bourne end buckinghamshire",4
"20",20,"bourne end railway bridge",4
"21",21,"cookham berkshire |",4
"22",22,"egham walton sunbury",4
"23",23,"flood alert 647pm 29032016 river thames",4
"24",24,"flood alert 918am 10032016 river thames",4
"25",25,"maidenhead uk river thames",4
