"","text","n"
"1","london liverpool street",886
"2","cheshunt waltham cross enfield lock brimsdown ponders",469
"3","the lea navigation",425
"4","a train fault",342
"5","enfield lock waltham cross",260
"6","enfield lock station",244
"7","enfield lock and waltham cross",225
"8","an earlier train fault",199
"9","cheshunt waltham cross enfield lock brimsdown",163
"10","hackney downs ponders",158
"11","waltham cross enfield lock brimsdown ponders",156
"12","x enfield lock brimsdown ponders",125
"13","the signalling system",124
"14","tottenham hale ponders",122
"15","the river lea navigation",97
"16","a level crossing",94
"17","brimsdown and enfield lock",94
"18","the train beacon ios",92
"19","copilot gps navigation",79
"20","most windows phone",79
"21","tot hale customers",79
"22","1839 hertford east",78
"23","cheshunt waltham cross",74
"24","now 6 mins",71
"25","the river lea",71
"26","enfield lock brimsdown ponders",69
"27","now 5 mins",65
"28","enfield lock",55
"29","now 7 mins",55
"30","river lea navigation",54
"31","enfield lock byelection",53
"32","now 10 mins",52
"33","enfield lock railway station enl",51
"34","0909 hertford east",50
"35","1909 hertford east",49
"36","the overhead electric wires",47
"37","a broken down train",46
"38","level crossing barriers",46
"39","1809 hertford east",44
"40","a trespass incident",44
"41","a road vehicle",43
"42","a speed restriction",43
"43","waltham x enfield lock brimsdown ponders",43
"44","1639 hertford east",42
"45","enfield lock train station",42
"46","waltham cross enfield lock brimsdown",42
"47","0812 london liverpool street",41
"48","line problem london liverpool",41
"49","enfield lock london bound lines",39
"50","1826 london liverpool street",36
"51","a train fault ec",36
"52","now 8 mins",34
"53","labour wins landslide victory",33
"54","the lock doctors",33
"55","1939 hertford east",31
"56","the lee navigation",31
"57","the london loop",31
"58","the next train",31
"59","videochat description welcummy name",30
"60","1756 london liverpool street",29
"61","now 12 mins",29
"62","0742 london liverpool street",28
"63","1709 hertford east",28
"64","a freight train",28
"65","an earlier trespass incident",28
"66","0715 stansted airport",27
"67","a points failure",27
"68","the definitive guide",27
"69","0839 hertford east",26
"70","0939 hertford east",26
"71","waltham x enfield lock brimsdown",26
"72","1609 hertford east",25
"73","2039 hertford east",25
"74","an earlier points failure",25
"75","enfield lock brimsdown",25
"76","the enfield lock area",25
"77","the level crossing",24
"78","1539 hertford east",23
"79","enfield lock railway station enl ordnance rd enfield",23
"80","enfield lock trains",23
"81","1009 hertford east",22
"82","1656 london liverpool street",22
"83","broxbourne and enfield lock",22
"84","greater anglia update",22
"85","now 11 mins",22
"86","enfield lock area",21
"87","enfield lock en3",21
"88","enfield lock level crossing",21
"89","the enfield lock",21
"90","1509 hertford east",20
"91","enfield lock london",20
"92","london liverpool st",20
"93","tottenham riots police",20
"94","1739 hertford east",19
"95","an earlier train fault ec",19
"96","base sport utility",19
"97","enfield lock waltham",19
"98","the lea navigation canal",19
"99","to enfield lock",19
"100","v8 4x4 awd navigation sunroof lea",19
"101","1109 hertford east",18
"102","2012 london liverpool street",18
"103","an earlier problem",18
"104","enfield lock enfield",18
"105","london liverpool street hackney downs",18
"106","0717 hertford east",17
"107","1905 enfield lock",17
"108","a  video",17
"109","a broken down train ec",17
"110","enfield lock train services",17
"111","line problem london liverpool st",17
"112","line problem stratford",17
"113","navigation 4x4 09 ridgeline rtl navigation",17
"114","now 9 mins",17
"115","> greater anglia update",16
"116","0812 london liverpool",16
"117","1139 hertford east",16
"118","1856 london liverpool street",16
"119","4x4 navigation sunroof lea",16
"120","7 genotin road",16
"121","a late running freight train",16
"122","bar form",16
"123","broxbourne rye house st",16
"124","enfield lock railway station",16
"125","oyster payg zone",16
"126","the old bryant",16
"127","tottenham hale hackney downs",16
"128","0842 london liverpool",15
"129","1809 hertford e",15
"130","1909 hertford e",15
"131","2014 drw ltz crew",15
"132","3500 ltz crew cab",15
"133","delayed or revised disruption",15
"134","new  night cupids",15
"135","professional non smoker",15
"136","ss peter andpaul enfield lock",15
"137","1242 london liverpool street",14
"138","1726 london liverpool street",14
"139","2109 hertford east",14
"140","a largee collection",14
"141","danielkoksu  20 ans enfield",14
"142","enfield lock railway station enl enfield",14
"143","enfield lock snt",14
"144","leather dominatrix",14
"145","overhead wire problems",14
"146","stratford lea bridge",14
"147","terraced enfield lock",14
"148","the enfield lock line",14
"149","1039 hertford east",13
"150","1042 london liverpool street",13
"151","1309 hertford east",13
"152","1739 hertford e",13
"153","1756 london liverpool",13
"154","a train ec",13
"155","brimsdown enfield lock waltham cross",13
"156","enfield lock download",13
"157","enfield lock ward",13
"158","london unmissable offer",13
"159","mortgage advisor  hertford and enfield enfield lock england united kingdom",13
"160","now 15 mins",13
"161","shabby air lock india",13
"162","stortford 1653 enfield lock",13
"163","the lea valley navigation",13
"164","wet pussy girl",13
"165","<u+23ed><u+fe0f> greater anglia update",12
"166","0712 london liverpool street",12
"167","0842 london liverpool street",12
"168","0909 hertford e",12
"169","1 yr warranty auto 2008 58 vauxhall corsa",12
"170","1012 london liverpool street",12
"171","1312 london liverpool street",12
"172","1342 london liverpool street",12
"173","1542 london liverpool street",12
"174","1809 london liverpool street",12
"175","a photo  river lea navigation",12
"176","an earlier broken down train",12
"177","an unusually large passenger flow",12
"178","automatic black full dealer history 1 ownr hpi",12
"179","brimsdown enfield lock and northumberland park",12
"180","electrical supply problems",12
"181","railway inn  enfield lock enfield middlesex england",12
"182","the river lea navigation canal",12
"183","the sony centre",12
"184","the track ec",12
"185","tott hale northumberland park enfield lock",12
"186","0912 london liverpool street",11
"187","1612 london liverpool street",11
"188","1726 london liverpool",11
"189","1839 hertford e",11
"190","a track defect",11
"191","air lock india",11
"192","automatic braking system",11
"193","brimsdown enfield lock and waltham cross",11
"194","cheshunt enfield lock angel road",11
"195","cheshunt waltham x enfield lock brimsdown ponders",11
"196","enfield lock barriers",11
"197","enfield lock rs",11
"198","five bells wharf",11
"199","line problem london liverpool street",11
"200","no ga services",11
"201","northumberland park ponders",11
"202","the line ec",11
"203","the next service",11
"204","the old river lea",11
"205","0939 hertford e",10
"206","1 owner auto",10
"207","1134 enfield lock",10
"208","1339 hertford east",10
"209","1412 london liverpool street",10
"210","1539 hertford e",10
"211","a train approaches",10
"212","a train crew member ec",10
"213","an earlier trespass incident ec",10
"214","another late running passenger train ec",10
"215","earlier overhead wire problems",10
"216","enfield island village",10
"217","enfield lock residents",10
"218","hertford east bishops",10
"219","lexus  ls awd",10
"220","liverpool street 1935 enfield lock",10
"221","now 13 mins",10
"222","royal enfield lock nut  final drive sprocket gaskets",10
"223","the emergency services",10
"224","the lea valley",10
"225","the northeasternmost corner",10
"226","the olympic park",10
"227","the passenger communication alarm",10
"228","the royal small arms factory",10
"229","the social media cafe",10
"230","the ticket office",10
"231","the train driver",10
"232","tottenham hale and hackney downs",10
"233","tottenham hale northumberland park enfield lock",10
"234","video shows car",10
"235","ware st margarets",10
"236","1239 hertford east",9
"237","1656 london liverpool",9
"238","1707 london liverpool",9
"239","1807 london liverpool",9
"240","1813 london liverpool st",9
"241","1826 london liverpool",9
"242","enfield lock phone",9
"243","enfield lock waltham cross cheshunt",9
"244","further notice ec",9
"245","original lock plate",9
"246","the first time",9
"247","the model 1853 enfield rifle musket tower",9
"248","washie  22 ans enfield",9
"249","0742 liverpool street",8
"250","0743 enfield lock",8
"251","1 year warranty",8
